地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
北京,所有时段,巩华城地铁站路西,16,21,23
北京,所有时段,望京伯爵城中央公园,16,19,15
北京,所有时段,天坛公园科普园附近,16,18,25
北京,所有时段,北京市海淀区北京植物园,16,17,31
北京,所有时段,天坛,16,17,30
北京,所有时段,绿海运动公园,16,17,21
北京,所有时段,北京市朝阳区望和公园-北园,16,16,23
北京,所有时段,唐指山水库,16,16,31
北京,所有时段,清河（清河南镇段）,16,16,21
北京,所有时段,镇辽门东,15,21,37
北京,所有时段,颐和园团城湖,15,21,29
北京,所有时段,百望山森林公园-观景平台,15,20,30
北京,所有时段,百望山森林公园黑山头,15,20,32
北京,所有时段,西郊砂石坑公园(北京市海淀区),15,19,31
北京,所有时段,北京市清河管理处下清河闸管理站,15,17,20
北京,所有时段,温榆河孙河乡,15,17,41
北京,所有时段,国家植物园北园-东南门,15,16,29
北京,所有时段,国家植物园北园-绚秋园,15,16,25
北京,所有时段,玉渊潭公园樱花湖,15,16,32
北京,所有时段,颐和园-团城湖,15,16,34
北京,所有时段,十渡（房山拒马河峡谷）,15,15,30
北京,所有时段,大黄岩河,15,15,17
北京,所有时段,朝阳区元大都遗址公园,15,15,20
北京,所有时段,沙河巩华城半岛周边,15,15,29
北京,所有时段,国家植物园南园,14,24,23
北京,所有时段,清河之洲,14,23,19
北京,所有时段,奥林匹克森林公园,14,19,52
北京,所有时段,北京莲花池公园,14,18,14
北京,所有时段,未来科学城滨水公园,14,18,39
北京,所有时段,雁栖湖,14,17,24
北京,所有时段,朝阳区南磨房官庄公园(广渠东路南300米),14,16,19
北京,所有时段,沙河水库北岸,14,16,55
北京,所有时段,沙河水库南沙河,14,15,42
北京,所有时段,顺义区仁和镇光明街道,14,15,28
北京,所有时段,官厅水库,14,14,81
北京,所有时段,幽州峡谷,14,14,44
北京,所有时段,房山区佛子庄乡教军场,14,14,22
北京,所有时段,朝阳区奥运村奥林匹克森林公园(沉水廊道西),14,14,27
北京,所有时段,百望山望京楼,13,51,29
北京,所有时段,海淀区玉渊潭公园,13,23,33
北京,所有时段,东城区 柳荫公园,13,21,26
北京,所有时段,北京市玉渊潭公园,13,19,41
北京,所有时段,清华大学-工字厅,13,18,26
北京,所有时段,牛口峪湿地公园,13,18,32
北京,所有时段,百望山282猛禽监测点,13,17,28
北京,所有时段,朝阳区太阳宫公园(四环南),13,16,21
北京,所有时段,海淀区百望山森林公园猛禽监测春季点,13,16,19
北京,所有时段,北京市大兴区南海子公园,13,15,26
北京,所有时段,太师屯和园公园,13,15,18
北京,所有时段,房山区长阳镇大宁村,13,15,33
北京,所有时段,中坞公园,13,14,24
北京,所有时段,马场和野鸭湖国家湿地公园,13,14,61
北京,所有时段,妙峰山玫瑰园（阳台山东大坨）,13,13,23
北京,所有时段,山水天下影视城西(清水河北路),13,13,10
北京,所有时段,中国科学院大学(雁栖湖校区),12,26,24
北京,所有时段,老山城市休闲公园,12,24,26
北京,所有时段,大兴区南海子公园二期,12,23,46
北京,所有时段,东郊湿地公园,12,18,39
北京,所有时段,北沙河及巩华城半岛,12,18,41
北京,所有时段,大运河森林公园-月岛闻莺景区,12,18,54
北京,所有时段,北京植物园(北京市海淀区),12,17,33
北京,所有时段,南海子二期东南,12,14,36
北京,所有时段,南海子公园(北京市大兴区),12,14,39
北京,所有时段,海淀区百望山森林公园春季猛禽监测点,12,14,31
北京,所有时段,天坛公园北天门东北,12,13,20
北京,所有时段,昌平滨河森林公园,12,13,34
北京,所有时段,百望山森林公园春季猛禽监测点,12,13,38
北京,所有时段,北京市北京市海淀区玉渊潭公园,12,12,23
